Species,BARI,BLASTOPIA,BS,COPIA2,COPIA,Copia1,DM1731,DM412,DMCR1A,DOC,FW3,FW,G2,G4,G5,GYPSY4,GYPSY6,GYPSY,Gypsy1,Gypsy2,HELENA,INVADER2,INVADER6,IVK,I,Jockey,LOOPER1,MAX,MICROPIA,QUASIMODO,R12,R1,ROO,STALKER4,S,TC12,TRANSPAC
C.costata,NA,NA,NA,0,0,9,0,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,48,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA
D.ambigua,NA,NA,NA,0,0,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
D.americana,2,NA,NA,0,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,4,NA,3,NA,NA,0,NA,NA,NA,2,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
D.ananassae,17,NA,NA,NA,12,1,0,NA,241,1,NA,117,NA,0,NA,NA,203,NA,390,NA,0,24,NA,NA,1,1,NA,NA,NA,NA,NA,47,NA,NA,NA,0,0
D.arawakana,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,0,NA,NA,NA,NA,NA
D.biarmipes,16,NA,NA,NA,NA,NA,0,34,0,NA,NA,NA,NA,NA,NA,NA,453,NA,233,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,35,20,NA,NA,NA,NA
D.bipectinata,16,NA,NA,0,9,NA,0,114,0,2,NA,2,0,1,0,NA,NA,NA,145,NA,NA,24,NA,18,37,4,NA,NA,NA,NA,NA,5,NA,NA,1,3,0
D.bocqueti,39,NA,NA,NA,0,1006,0,985,303,0,NA,2,NA,282,NA,NA,3277,NA,678,NA,NA,79,NA,133,NA,NA,NA,NA,225,NA,NA,184,1853,1497,NA,NA,NA
D.cardini,NA,NA,NA,NA,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,8,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA
D.carrolli,18,NA,0,0,166,0,1,NA,490,0,1,4,NA,4,NA,0,331,NA,45,NA,NA,1,NA,49,0,7,NA,16,NA,0,0,179,20,NA,2,NA,5
D.dunni,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
D.elegans,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,5,0,0,0,2,11,0,30,NA,NA,NA,NA,NA,1,35,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA
D.equinoxialis,0,NA,4,0,4,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA
D.ercepeae,NA,0,337,0,1029,906,NA,NA,12,12,81,161,29,NA,NA,NA,NA,71,679,NA,317,NA,NA,827,300,NA,NA,NA,NA,NA,NA,NA,NA,5385,NA,NA,NA
D.erecta,5,NA,56,NA,NA,NA,NA,853,319,NA,NA,NA,170,203,NA,NA,3275,780,2155,2085,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586,NA,43,NA,1455,NA,NA,NA
D.eugracilis,NA,NA,NA,0,0,NA,0,NA,37,0,0,6,NA,1,0,NA,256,NA,260,NA,NA,NA,NA,NA,25,NA,NA,1,NA,NA,NA,36,48,NA,NA,NA,NA
