Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	CheckM marker set	CheckM completeness	CheckM contamination
GCA_018903765.1	ASM1890376v1	Drosophila aff. chauvacae BK-2020	mont_up-71	male	212108578	Scaffold	16/06/2021	JAEIGO01	5345913	5345913	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729648						
GCA_018903735.1	ASM1890373v1	Drosophila cardini	15181-2181.03	male	181105816	Contig	16/06/2021	JAEIGM01	4216638		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729652						
GCA_018904525.1	ASM1890452v1	Drosophila erecta	14021-0224.01	female	135657613	Scaffold	16/06/2021	JAEIGZ01	20389455	20389455	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729697						
GCA_018901825.1	ASM1890182v1	Drosophila funebris	fst01	male	154245976	Contig	16/06/2021	JAEIFK01	14085961		Oxford Nanopore MinION	Stanford University	PRJNA675888	SAMN16729688						
GCA_018903935.1	ASM1890393v1	Drosophila insularis	jp01i	male	212411654	Contig	16/06/2021	JAEIFP01	6295961		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729645						
GCA_018903485.1	ASM1890348v1	Drosophila littoralis	1240J8	male	236786485	Scaffold	16/06/2021	JAEIGF01	7098318	7098318	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729673						
GCA_018904475.1	ASM1890447v1	Drosophila mauritiana	14021-0241.01	female	130134090	Scaffold	16/06/2021	JAEIGY01	20914214	20914214	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729699						
GCA_018904365.1	ASM1890436v1	Drosophila melanogaster	14021-0231.36	pooled male and female	144706421	Scaffold	16/06/2021	JAEIGS01	22510348	22510348	Oxford Nanopore MinION; Illumina NextSeq	Stanford University	PRJNA675888	SAMN16729610						
GCA_018904325.1	ASM1890432v1	Drosophila murphyi	DKPHETFM01	pooled male and female	153852709	Contig	16/06/2021	JAEIFX01	11375470		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729622						
GCA_018903615.1	ASM1890361v1	Drosophila neocordata	14041-0831.00	male	194830689	Scaffold	16/06/2021	JAEIGI01	6033383	6033383	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729666						
GCA_018904465.1	ASM1890446v1	Drosophila persimilis	14011-0111.01	female	152810519	Contig	16/06/2021	JAEIGX01	4059666		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729701						
GCA_018904455.1	ASM1890445v1	Drosophila pseudoobscura	14011-0121.94	female	149802618	Contig	16/06/2021	JAEIGW01	5433179		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729702						
GCA_018903745.1	ASM1890374v1	Drosophila repleta	kari30	male	154011936	Contig	16/06/2021	JAEIGN01	9288829		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729650						
GCA_018903575.1	ASM1890357v1	Drosophila saltans	14045-0911.00	male	249306946	Contig	16/06/2021	JAEIGH01	2961640		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729668						
GCA_018904445.1	ASM1890444v1	Drosophila sechellia	14021-0248.01	female	147903942	Scaffold	16/06/2021	JAEIGV01	16608005	16608005	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729703						
GCA_018904415.1	ASM1890441v1	Drosophila simulans	14021-0251.006	female	133569011	Scaffold	16/06/2021	JAEIGU01	21142363	21142363	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729704						
GCA_018901795.1	ASM1890179v1	Drosophila sp. st01m	st01m	male	127210605	Contig	16/06/2021	JAEIFG01	12131160		Oxford Nanopore MinION	Stanford University	PRJNA675888	SAMN16729694						
GCA_018904355.1	ASM1890435v1	Drosophila sproati	DKPTOMS02	pooled male and female	138134348	Contig	16/06/2021	JAEIFY01	7964422		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729621						
GCA_018903505.1	ASM1890350v1	Drosophila subobscura	Ksnacht	male	136896320	Contig	16/06/2021	JAEIGG01	17798419		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729670						
GCA_018903625.1	ASM1890362v1	Drosophila teissieri	273.3	male	152423477	Contig	16/06/2021	JAEIGJ01	8218613		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729662						
GCA_018903445.1	ASM1890344v1	Drosophila willistoni	14030-0811.17	male	244851387	Scaffold	16/06/2021	JAEIGE01	13590701	13590701	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729681						
GCA_018904385.1	ASM1890438v1	Drosophila yakuba	14021-0261.01	female	151310448	Contig	16/06/2021	JAEIGT01	21469989		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729707						
GCA_018904275.1	ASM1890427v1	Lordiphosa clarofinis	Guizhou062018LC	pooled male and female	398719931	Scaffold	16/06/2021	JAEIGQ01	1678281	1678281	Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729635						
GCA_018904265.1	ASM1890426v1	Lordiphosa collinella	UCKTSapporo052019LC	pooled male and female	375096912	Contig	16/06/2021	JAEIFV01	345488		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729637						
GCA_018904285.1	ASM1890428v1	Lordiphosa magnipectinata	UCKTSapporo052019LM	pooled male and female	416514997	Contig	16/06/2021	JAEIFW01	304656		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729636						
GCA_018904225.1	ASM1890422v1	Lordiphosa mommai	MMSapporo052014LM	pooled male and female	339463949	Contig	16/06/2021	JAEIFT01	622708		Oxford Nanopore MinION; Illumina HiSeq	Stanford University	PRJNA675888	SAMN16729639						
